Question,Answer
Sakine Kaya kimdir?,Sakine Kaya Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Dijital Pazarlama
Ahmet Maruf Baysal kimdir?,"Ahmet Maruf Baysal Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Siyasal Reklamcılık, Siyasal İletişim, Göstergebilim"
Ezgi Yıldız Çetin kimdir?,"Ezgi Yıldız Çetin Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Programları ve Öğretim, Eğitimde Program Değerlendirme"
Muhterem Aydın kimdir?,Muhterem Aydın Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Veteriner Doğum ve Jinekoloji
Assad Alden Yousef kimdir?,"Assad Alden Yousef Fırat Üniversite kurumunda Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Arap Dili ve Belagatı, Tefsir"
Gökhan İstek kimdir?,"Gökhan İstek Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Genel Fizik, Malzeme Fiziği"
Fatma Taş kimdir?,Fatma Taş Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Uluslararası İktisat
Sümeyye Bürkev kimdir?,Sümeyye Bürkev Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Biyomühendislik
Veysel Yılmaz kimdir?,Veysel Yılmaz Fırat Üniversite kurumunda Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sağlık Yönetimi
Musa Aydemir kimdir?,"Musa Aydemir Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Elektrik Enerjisi Taşıma, Şebeke ve Sistemleri"
Mustafa Çınar kimdir?,Mustafa Çınar Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Programları ve Öğretim
Fırat Pektaş kimdir?,"Fırat Pektaş Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Yapay Zeka (Diğer), Gazetecilik, Web Tasarımı"
Beyza Furtana Yalçın kimdir?,"Beyza Furtana Yalçın Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Ulaşım ve Trafik, Ulaştırma Mühendisliği"
Seda Çelik kimdir?,Seda Çelik Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Veteriner Hekimlik Tarihi ve Etik
Gözde Özmen kimdir?,"Gözde Özmen Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Hanehalkı Finansmanı ve Finansal Okuryazarlık, Finansal Muhasebe, Maliyet Muhasebesi"
Arzu Güngör kimdir?,"Arzu Güngör Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sosyal Medya Çalışmaları, Reklamcılık, İletişim Psikolojisi"
Celal İncir kimdir?,Celal İncir Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İş Bilgi Yönetimi
Nurbanu Demirbaş kimdir?,"Nurbanu Demirbaş Fırat Üniversite kurumunda Dr. Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Betonarme Yapılar, Deprem Mühendisliği"
Eyyüp Altıntaş kimdir?,Eyyüp Altıntaş Fırat Üniversite kurumunda Doç. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Protez
Ramazan Aydemir kimdir?,Ramazan Aydemir Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İslam Hukuku
Süleyman Bozkuş kimdir?,Süleyman Bozkuş Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Public Health
Fatma Ceren Dikici kimdir?,"Fatma Ceren Dikici Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi Güvenliği ve Kriptoloji, Yapay Zeka, Elektrik Mühendisliği"
Ali Haydar Demir kimdir?,Ali Haydar Demir Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Yönetimi
Hamza Elbahadır kimdir?,"Hamza Elbahadır Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Veri Madenciliği ve Bilgi Keşfi, Veritabanı Sistemleri, Bilgisayar Yazılımı, Programlama Dilleri"
Merve Gün Aydın kimdir?,Merve Gün Aydın Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Türkiye Sahası Yeni Türk Edebiyatı
Sibel Topuz kimdir?,Sibel Topuz Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Fen ve Matematik Alanları Eğitimi
Şarefettin Yıldızöz kimdir?,Şarefettin Yıldızöz Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Yönetimi
Neslihan Keser kimdir?,Neslihan Keser Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilinmiyor
Sevilay Özdemir kimdir?,Sevilay Özdemir Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Endüstriyel Ürün Tasarımı
Giray Akdeniz kimdir?,Giray Akdeniz Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İletişim Sistemleri
Zeki Mamur kimdir?,Zeki Mamur Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Hemşirelik
Yüsra Kara kimdir?,"Yüsra Kara Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Ziraat, Veterinerlik ve Gıda Bilimleri"
Müzeyyen Akgöl kimdir?,Müzeyyen Akgöl Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Veteriner Gıda Hijyeni ve Teknolojisi
Fatma Tutuş kimdir?,Fatma Tutuş Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Programları ve Öğretim
Mehmet Acar kimdir?,Mehmet Acar Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sayısal ve Hesaplamalı Matematik (Diğer)
Ömer Zülfü Gürakar kimdir?,"Ömer Zülfü Gürakar Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Dini Musiki, Türk Halk Müziğinde Kompozisyon, Türk Halk Müziğinde Yorumculuk"
Ayşegül Arslan kimdir?,Ayşegül Arslan Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Egzersiz ve Spor Psikolojisi
Nesibe Ece kimdir?,Nesibe Ece Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilinmiyor
Abdulkadir Arısoy kimdir?,Abdulkadir Arısoy Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim
Reyhan Yılmaz kimdir?,Reyhan Yılmaz Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Görüntü İşleme
Dilek Güneş kimdir?,Dilek Güneş Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Cerrahi Hastalıklar Hemşireliği
Bilal Alat kimdir?,Bilal Alat Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Teknoloji Yönetimi ve İş Modelleri
Shavkatjon Makhmadiev kimdir?,Shavkatjon Makhmadiev Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim
Ahmet Tektemur kimdir?,"Ahmet Tektemur Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Gen İfadesi, Moleküler Genetik"
Güneş Pala kimdir?,Güneş Pala Fırat Üniversite kurumunda Yrd. Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sucul Kültür ve Balıkçılık
Gökhan Önce kimdir?,Gökhan Önce Fırat Üniversite kurumunda Uzm. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Ortopedi
Cengiz Tatar kimdir?,"Cengiz Tatar Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Malzeme Fiziği, Termodinamik ve İstatistiksel Fizik, Yoğun Madde Fiziği"
Fahrettin Göktaş kimdir?,"Fahrettin Göktaş Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Atom ve Molekül Fiziği, Nükleer Fizik"
Awat Hamad Awla Braım kimdir?,Awat Hamad Awla Braım Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Biyokimya ve Hücre Biyolojisi
Meral Yıldırım kimdir?,"Meral Yıldırım Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Yeni Türk Dili (Eski Anadolu, Osmanlı, Türkiye Türkçesi)"
Merve Parlak Baydoğan kimdir?,Merve Parlak Baydoğan Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Makine Öğrenme
Dilara Tursun kimdir?,Dilara Tursun Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Betonarme Yapılar
Nihal Esen kimdir?,Nihal Esen Fırat Üniversite kurumunda Dr. Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Türkiye Cumhuriyeti Tarihi
Emrah Çümendir kimdir?,"Emrah Çümendir Fırat Üniversite kurumunda Dr. Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Dini Musiki, Müzik Performansı, Türk Sanat Müziğinde Yorumculuk, Müzik (Diğer)"
Berna Çengiz kimdir?,Berna Çengiz Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgisayar Yazılımı
Kürşat Kargün kimdir?,"Kürşat Kargün Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Moleküler Genetik, Hayvan Hücresi ve Moleküler Biyoloji, Genetik ve Kişiselleştirilmiş Beslenme Bilimi"
Veysel Özlü kimdir?,Veysel Özlü Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İnşaat Geoteknik Mühendisliği
Ertuğrul Çeçen kimdir?,"Ertuğrul Çeçen Fırat Üniversite kurumunda Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Çağdaş Türk Lehçeleri ve Edebiyatları, Güney-Batı (Oğuz) Türk Lehçeleri ve Edebiyatları, Dilbilim, Bilişsel Dilbilimi, Dil Kullanım Bilimi, Dilsel Yapılar (Fonoloji, Morfoloji ve Sözdizimi dahil), Fonetik ve Konuşma Bilimi, Söylem ve Bağlamsal Dilbilim, Türkçe ve Sosyal Bilimler Eğitimi"
Ayfer Beyaz Coşkun kimdir?,"Ayfer Beyaz Coşkun Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Beslenme ve Diyetetik, Halk Sağlığı Beslenmesi, Klinik Beslenme"
Fatıma Ravza Ünlü kimdir?,Fatıma Ravza Ünlü Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Türkiye Sahası Yeni Türk Edebiyatı
Uğur Oflaz kimdir?,"Uğur Oflaz Fırat Üniversite kurumunda Dr. Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Radyobiyoloji, Radyoterapi, Nükleer Fizik"
Burcu İrdam kimdir?,Burcu İrdam Fırat Üniversite kurumunda Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sağlık Yönetimi
Burak Özküçük kimdir?,Burak Özküçük Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Uygulamalı Matematik
Kübra Öner kimdir?,Kübra Öner Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Yönetim Bilişim Sistemleri
Fırat Güreş kimdir?,Fırat Güreş Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Temel Eğitim
Enver Aras kimdir?,Enver Aras Fırat Üniversite kurumunda Yrd. Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Türk Dili ve Edebiyatı
Serdar Acar kimdir?,Serdar Acar Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Fizik
Burçin Çelikezen kimdir?,Burçin Çelikezen Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Veteriner Farmakoloji
Ergin Dik kimdir?,Ergin Dik Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Dini Musiki
Funda Kuzu kimdir?,Funda Kuzu Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Elektronik
Esat Guzel kimdir?,Esat Guzel Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Parçacık ve Yüksek Enerji Fiziği
Cihan Varol kimdir?,Cihan Varol Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi Güvenliği Yönetimi
Fatma Nur Yılmaz kimdir?,"Fatma Nur Yılmaz Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Alman Dili, Edebiyatı ve Kültürü"
Ayşe Tekbaş kimdir?,"Ayşe Tekbaş Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Fotonik ve Elektro-Optik Cihazlar, Sensörler ve Sistemler (İletişim Hariç)"
Sabahattin Oluk kimdir?,Sabahattin Oluk Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Görüntü İşleme
Kemal Fidan kimdir?,Kemal Fidan Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim
Nuray Yıldırım kimdir?,Nuray Yıldırım Fırat Üniversite kurumunda Dr. Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Programları ve Öğretim
Yusuf Hallaç kimdir?,"Yusuf Hallaç Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Derin Öğrenme, İstatistiksel Analiz"
Mehmet Selim Kızgın kimdir?,"Mehmet Selim Kızgın Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Görüntü İşleme, Makine Öğrenme, Yapay Zeka, Bulanık Hesaplama, Endüstriyel Biyoteknoloji, Endüstriyel Biyoteknoloji (Diğer)"
Abdulrahman Çavlı kimdir?,Abdulrahman Çavlı Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Türkçe ve Sosyal Bilimler Eğitimi
İbrahim Hulusi Yıldırım kimdir?,İbrahim Hulusi Yıldırım Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Girişimcilik
Fethiye Merve Kavak kimdir?,Fethiye Merve Kavak Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İletişim Mühendisliği
Ayşe Berilgen Gürgöze kimdir?,Ayşe Berilgen Gürgöze Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Nöroloji ve Nöromüsküler Hastalıklar
Mustafa Emre Demir kimdir?,Mustafa Emre Demir Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sağlık Bilişimi ve Bilişim Sistemleri
Meryem Akça kimdir?,Meryem Akça Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Evrensel ve Engelsiz Tasarım
Mehmet Çelik kimdir?,"Mehmet Çelik Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Dil Edinimi, Ölçek Geliştirme, Türkçe Eğitimi, Yaratıcı Drama Eğitimi , Eğitim Üzerine Çalışmalar (Diğer)"
Serenay Çelik kimdir?,"Serenay Çelik Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Derin Öğrenme, Elektrik Devreleri ve Sistemleri"
Ayşe Nur Tüfenkçi kimdir?,"Ayşe Nur Tüfenkçi Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sentetik Biyoloji, Genom Yapısı ve Düzenlemesi, Moleküler Genetik, Mikrobiyal Genetik"
Ayşe Gül Sezer kimdir?,Ayşe Gül Sezer Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Genel Türk Tarihi (Diğer)
Muhammed Alperen Horoz kimdir?,"Muhammed Alperen Horoz Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Derin Öğrenme, Makine Öğrenmesi Algoritmaları, Bilgisayar Yazılımı"
Şaile Tuba Öztürk kimdir?,Şaile Tuba Öztürk Fırat Üniversite kurumunda Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Su Kaynakları ve Su Yapıları
Buğra Yılmaz kimdir?,"Buğra Yılmaz Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Elektrik Enerjisi Taşıma, Şebeke ve Sistemleri, Elektrik Tesisleri"
Kevser Özdemir kimdir?,"Kevser Özdemir Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Pharmacognosy, Pharmaceutical Botany"
Musab Çelen kimdir?,"Musab Çelen Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Film Eleştirisi, Film Yapım ve Yönetimi, Sinema Kuramları, Sinema-TV Yapım ve Yönetimi"
Cemile Balık kimdir?,Cemile Balık Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Değerler Eğitimi
Beyhan Kemaloğlu kimdir?,Beyhan Kemaloğlu Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Matematik
Yasemin Aşkın kimdir?,Yasemin Aşkın Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Genetik
Öznur Kaymaz kimdir?,Öznur Kaymaz Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Ekonomi Politik Teorisi
Süleyman Yaman kimdir?,"Süleyman Yaman Fırat Üniversite kurumunda Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Görüntü İşleme, Yapay Zeka, Biyomedikal ve Klinik Bilimler, Biyomedikal Mühendisliği, Gömülü Sistemler"
Ayşe Nur Özmen kimdir?,Ayşe Nur Özmen Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Öğretim Teknolojileri
Hacı Sait Arslan kimdir?,Hacı Sait Arslan Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Geomatik/Harita Mühendisliği
İlhan Şengül kimdir?,"İlhan Şengül Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Ağız ve Çene Cerrahisi, Oral İmplantoloji, Oral Tıp ve Patoloji"
Ayşe Nur Esen kimdir?,Ayşe Nur Esen Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Din Eğitimi
Abdullah Bingöbalı kimdir?,Abdullah Bingöbalı Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Egzersiz ve Spor Bilimleri
Kochar Kh. Saleh kimdir?,"Kochar Kh. Saleh Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Hayvan Hücresi ve Moleküler Biyoloji, Mikrobiyoloji"
Abdullah Gökhan Tuğan kimdir?,"Abdullah Gökhan Tuğan Fırat Üniversite kurumunda Öğretim Görevlisi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İngiliz ve İrlanda Dili, Edebiyatı ve Kültürü"
Samet Sevgili kimdir?,"Samet Sevgili Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Mikrobiyoloji, İklim Değişikliği-Etkiler ve Adaptasyon, Çevresel Biyojeokimya, Çevre Mühendisliği, Atık Yönetimi, Azaltma, Yeniden Kullanım ve Geri Dönüşüm, Atıksu Arıtma Süreçleri"
Süleyman Donmuş kimdir?,Süleyman Donmuş Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Pazarlama
Mustafa Özler kimdir?,Mustafa Özler Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Mekatronik Mühendisliği
Meryem Yıldız kimdir?,Meryem Yıldız Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Örgüt Kültürü
Beyza Öztürk kimdir?,Beyza Öztürk Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sağlık Bilimleri
Gülşah Küçüker kimdir?,Gülşah Küçüker Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Yönetimi
Müzeyyen Büşra Çulcu kimdir?,Müzeyyen Büşra Çulcu Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Enerji Sistemleri Mühendisliği
Kevser Mehveş Dağcı kimdir?,Kevser Mehveş Dağcı Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İş Bilgi Sistemleri
Şeyda Nur Arslan kimdir?,Şeyda Nur Arslan Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Yönetimi
Suriye Tan kimdir?,Suriye Tan Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Egzersiz ve Spor Bilimleri
Esen Damla Balo Utku kimdir?,Esen Damla Balo Utku Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim
Özge Akgün kimdir?,Özge Akgün Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Beslenme ve Diyetetik
Zehra Genel kimdir?,Zehra Genel Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Çalışma Sosyolojisi
Özlem Üçer kimdir?,Özlem Üçer Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sağlık Bilimleri
Nuray Bürkek kimdir?,Nuray Bürkek Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilinmiyor
Emrah Çelik kimdir?,Emrah Çelik Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Malzeme Bilimi ve Teknolojileri
Aydın Bişirici kimdir?,Aydın Bişirici Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Temel Eğitim
Denizhan Mersin kimdir?,"Denizhan Mersin Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İnşaat Mühendisliği, İnşaat Geoteknik Mühendisliği, Yapı Malzemeleri, Hidroloji"
Fatma Gökçe Ekici kimdir?,Fatma Gökçe Ekici Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Makro İktisat
Mehmet Buğra Türkcan kimdir?,"Mehmet Buğra Türkcan Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Ağız, Diş ve Çene Radyolojisi"
Savaş Kurt kimdir?,"Savaş Kurt Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Güneş Enerjisi Sistemleri, Makine Mühendisliği"
Ayşe Albay kimdir?,"Ayşe Albay Fırat Üniversite kurumunda Doktora derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İletişim ve Medya Çalışmaları, Sağlık Yönetimi"
Muhammet Aydın kimdir?,"Muhammet Aydın Fırat Üniversite kurumunda Dr. Öğr. Üyesi derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Kontrol Teorisi ve Uygulamaları, Mekatronik Mühendisliği, Makine Teorisi ve Dinamiği"
Hasan Demir kimdir?,Hasan Demir Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim Programları ve Öğretim
Ahmet Yalçın kimdir?,Ahmet Yalçın Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Çağdaş Türk Lehçeleri ve Edebiyatları
Orhan Sayın kimdir?,Orhan Sayın Fırat Üniversite kurumunda Arş. Gör. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Tıbbi Fizyoloji (Diğer)
Melek Matiyar kimdir?,"Melek Matiyar Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Türkiye Fiziki Coğrafyası, Türkiye Beşeri Coğrafyası"
Serap Atila Şahin kimdir?,Serap Atila Şahin Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: İnşaat Geoteknik Mühendisliği
Alican Çetin kimdir?,Alican Çetin Fırat Üniversite kurumunda Yüksek Lisans derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eski Anadolu Tarihi
